,News,Links,MainLink
0,"Coronavirus update: Indian embassy in Moscow in touch with developer of Russia's COVID-19 vaccine Sputnik...
Reference: Moneycontrol
Updated: 6 hours ago
",https://news.google.com/articles/CAIiEH75oyyDrUhVd9mPdZQawrsqGQgEKhAIACoHCAowlbCPCzCrzaIDMLbgrgY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Coronavirus India Live Updates: AP becomes third state to record more than 3 lakh cases
Reference: The Indian Express
Updated: 40 minutes ago
",https://news.google.com/articles/CAIiEBaHEg1teqAgvJDi_85EVPEqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Mild COVID-19 cases can trigger strong T cell response: Study
Reference: Yahoo India News
Updated: 4 hours ago
",https://news.google.com/articles/CBMiRGh0dHBzOi8vaW4ubmV3cy55YWhvby5jb20vbWlsZC1jb3ZpZC0xOS1jYXNlcy10cmlnZ2VyLTEwNDIzMTE0Mi5odG1s0gFMaHR0cHM6Ly9pbi5uZXdzLnlhaG9vLmNvbS9hbXBodG1sL21pbGQtY292aWQtMTktY2FzZXMtdHJpZ2dlci0xMDQyMzExNDIuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Coronavirus LIVE Updates: Two more CRPF personnel die of COVID-19, toll in paramilitary force now 28
Reference: Firstpost
Updated: 24 minutes ago
",https://news.google.com/articles/CAIiEBztlVbuMNCk_ur6CWKObFAqFwgEKg8IACoHCAow5v6PATDrwA8w3-Me?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
